id,loc,build_type,damage_state,median,beta
419,low,RM2H,extensive,0.35,0.64
420,low,RM2H,complete,0.62,0.64
421,low,URML,slight,0.14,0.64
422,low,URML,moderate,0.2,0.64
423,low,URML,extensive,0.32,0.64
424,low,URML,complete,0.46,0.64
425,low,URMM,slight,0.1,0.64
426,low,URMM,moderate,0.16,0.64
427,low,URMM,extensive,0.27,0.64
428,low,URMM,complete,0.46,0.64
429,low,MH,slight,0.11,0.64
430,low,MH,moderate,0.18,0.64
431,low,MH,extensive,0.31,0.64
432,low,MH,complete,0.6,0.64
433,pre,W1,slight,0.18,0.64
434,pre,W1,moderate,0.29,0.64
435,pre,W1,extensive,0.51,0.64
436,pre,W1,complete,0.77,0.64
437,pre,W2,slight,0.12,0.64
438,pre,W2,moderate,0.19,0.64
439,pre,W2,extensive,0.37,0.64
440,pre,W2,complete,0.6,0.64
441,pre,S1L,slight,0.09,0.64
442,pre,S1L,moderate,0.13,0.64
443,pre,S1L,extensive,0.22,0.64
444,pre,S1L,complete,0.38,0.64
445,pre,S1M,slight,0.09,0.64
446,pre,S1M,moderate,0.14,0.64
447,pre,S1M,extensive,0.23,0.64
448,pre,S1M,complete,0.39,0.64
449,pre,S1H,slight,0.08,0.64
450,pre,S1H,moderate,0.12,0.64
451,pre,S1H,extensive,0.22,0.64
452,pre,S1H,complete,0.38,0.64
453,pre,S2L,slight,0.11,0.64
454,pre,S2L,moderate,0.14,0.64
455,pre,S2L,extensive,0.23,0.64
456,pre,S2L,complete,0.39,0.64
457,pre,S2M,slight,0.1,0.64
458,pre,S2M,moderate,0.14,0.64
459,pre,S2M,extensive,0.28,0.64
460,pre,S2M,complete,0.47,0.64
461,pre,S2H,slight,0.09,0.64
462,pre,S2H,moderate,0.13,0.64
463,pre,S2H,extensive,0.29,0.64
464,pre,S2H,complete,0.5,0.64
465,pre,S3,slight,0.08,0.64
466,pre,S3,moderate,0.1,0.64
467,pre,S3,extensive,0.16,0.64
468,pre,S3,complete,0.3,0.64
469,pre,S4L,slight,0.1,0.64
470,pre,S4L,moderate,0.13,0.64
471,pre,S4L,extensive,0.2,0.64
472,pre,S4L,complete,0.36,0.64
473,pre,S4M,slight,0.09,0.64
474,pre,S4M,moderate,0.13,0.64
475,pre,S4M,extensive,0.25,0.64
476,pre,S4M,complete,0.43,0.64
477,pre,S4H,slight,0.09,0.64
478,pre,S4H,moderate,0.14,0.64
479,pre,S4H,extensive,0.27,0.64
480,pre,S4H,complete,0.47,0.64
481,pre,S5L,slight,0.11,0.64
482,pre,S5L,moderate,0.14,0.64
483,pre,S5L,extensive,0.22,0.64
484,pre,S5L,complete,0.37,0.64
485,pre,S5M,slight,0.09,0.64
486,pre,S5M,moderate,0.14,0.64
487,pre,S5M,extensive,0.28,0.64
488,pre,S5M,complete,0.43,0.64
489,pre,S5H,slight,0.08,0.64
490,pre,S5H,moderate,0.14,0.64
491,pre,S5H,extensive,0.29,0.64
492,pre,S5H,complete,0.46,0.64
493,pre,C1L,slight,0.1,0.64
494,pre,C1L,moderate,0.12,0.64
495,pre,C1L,extensive,0.21,0.64
496,pre,C1L,complete,0.36,0.64
497,pre,C1M,slight,0.09,0.64
498,pre,C1M,moderate,0.13,0.64
499,pre,C1M,extensive,0.26,0.64
500,pre,C1M,complete,0.43,0.64
501,pre,C1H,slight,0.08,0.64
502,pre,C1H,moderate,0.12,0.64
503,pre,C1H,extensive,0.21,0.64
504,pre,C1H,complete,0.35,0.64
505,pre,C2L,slight,0.11,0.64
506,pre,C2L,moderate,0.15,0.64
507,pre,C2L,extensive,0.24,0.64
508,pre,C2L,complete,0.42,0.64
509,pre,C2M,slight,0.1,0.64
510,pre,C2M,moderate,0.15,0.64
511,pre,C2M,extensive,0.3,0.64
512,pre,C2M,complete,0.5,0.64
513,pre,C2H,slight,0.09,0.64
514,pre,C2H,moderate,0.15,0.64
515,pre,C2H,extensive,0.31,0.64
516,pre,C2H,complete,0.52,0.64
517,pre,C3L,slight,0.1,0.64
518,pre,C3L,moderate,0.14,0.64
519,pre,C3L,extensive,0.21,0.64
520,pre,C3L,complete,0.35,0.64
521,pre,C3M,slight,0.09,0.64
522,pre,C3M,moderate,0.14,0.64
523,pre,C3M,extensive,0.25,0.64
524,pre,C3M,complete,0.41,0.64
525,pre,C3H,slight,0.08,0.64
526,pre,C3H,moderate,0.13,0.64
527,pre,C3H,extensive,0.27,0.64
528,pre,C3H,complete,0.43,0.64
529,pre,PC1,slight,0.11,0.64
530,pre,PC1,moderate,0.14,0.64
531,pre,PC1,extensive,0.21,0.64
532,pre,PC1,complete,0.35,0.64
533,pre,PC2L,slight,0.1,0.64
534,pre,PC2L,moderate,0.13,0.64
535,pre,PC2L,extensive,0.19,0.64
536,pre,PC2L,complete,0.35,0.64
537,pre,PC2M,slight,0.09,0.64
538,pre,PC2M,moderate,0.13,0.64
539,pre,PC2M,extensive,0.24,0.64
540,pre,PC2M,complete,0.42,0.64
541,pre,PC2H,slight,0.09,0.64
542,pre,PC2H,moderate,0.13,0.64
543,pre,PC2H,extensive,0.25,0.64
544,pre,PC2H,complete,0.43,0.64
545,pre,RM1L,slight,0.13,0.64
546,pre,RM1L,moderate,0.16,0.64
547,pre,RM1L,extensive,0.24,0.64
548,pre,RM1L,complete,0.43,0.64
549,pre,RM1M,slight,0.11,0.64
550,pre,RM1M,moderate,0.15,0.64
551,pre,RM1M,extensive,0.28,0.64
552,pre,RM1M,complete,0.5,0.64
553,pre,RM2L,slight,0.12,0.64
554,pre,RM2L,moderate,0.15,0.64
555,pre,RM2L,extensive,0.22,0.64
556,pre,RM2L,complete,0.41,0.64
557,pre,RM2M,slight,0.1,0.64
558,pre,RM2M,moderate,0.14,0.64
559,pre,RM2M,extensive,0.26,0.64
560,pre,RM2M,complete,0.47,0.64
561,pre,RM2H,slight,0.09,0.64
562,pre,RM2H,moderate,0.13,0.64
563,pre,RM2H,extensive,0.27,0.64
564,pre,RM2H,complete,0.5,0.64
565,pre,URML,slight,0.13,0.64
566,pre,URML,moderate,0.17,0.64
567,pre,URML,extensive,0.26,0.64
568,pre,URML,complete,0.37,0.64
569,pre,URMM,slight,0.09,0.64
570,pre,URMM,moderate,0.13,0.64
571,pre,URMM,extensive,0.21,0.64
572,pre,URMM,complete,0.38,0.64
573,pre,MH,slight,0.08,0.64
574,pre,MH,moderate,0.11,0.64
575,pre,MH,extensive,0.18,0.64
576,pre,MH,complete,0.34,0.64
